riot_item_id,display_name_ptbr,communitydragon_api_name,resolution_status,resolution_method,resolution_score,candidate_count,item_type_candidate,observed_uses,carry_uses,tank_uses,support_uses,manual_category,manual_role_label,carry_weight,tank_weight,support_weight,learning_enabled,confirmed,notes
DA_NashorsTooth,Dente de Na'Shor,DA_NashorsTooth,resolved_candidate,exact_api_name,100,1,completed,566,505,52,9,,,,,,,False,
DA_TitansResolve,Determinação Titânica,DA_TitansResolve,ambiguous,exact_api_name,100,2,completed,557,345,211,1,,,,,,,False,
DA_HandOfJustice,Mão da Justiça,DA_HandOfJustice,resolved_candidate,exact_api_name,100,1,completed,496,423,72,1,,,,,,,False,
DA_BrambleVest,Colete Espinhoso,DA_BrambleVest,ambiguous,exact_api_name,100,2,completed,469,31,425,13,,,,,,,False,
DA_IonicSpark,Centelha Iônica,DA_IonicSpark,ambiguous,exact_api_name,100,2,completed,424,92,327,5,,,,,,,False,
DA_Bloodthirster,Sedenta por Sangue,DA_Bloodthirster,ambiguous,exact_api_name,100,2,completed,315,189,126,0,,,,,,,False,
DA_18_EmblemBrawler,Emblema de Lutador,DA_18_EmblemBrawler,resolved_candidate,exact_api_name,100,1,emblem_or_trait,224,144,72,8,,,,,,,False,
DA_18_EmblemExecutioner,Emblema de Carrasco,DA_18_EmblemExecutioner,resolved_candidate,exact_api_name,100,1,emblem_or_trait,217,209,6,2,,,,,,,False,
DA_Component_GiantsBelt,Cinto do Gigante,DA_Component_GiantsBelt,resolved_candidate,exact_api_name,100,1,review,190,33,150,7,,,,,,,False,
DA_Component_RecurveBow,Arco Recurvo,DA_Component_RecurveBow,resolved_candidate,exact_api_name,100,1,review,170,140,18,12,,,,,,,False,
DA_18_EmblemRapidfire,Emblema de Fumegante,DA_18_EmblemRapidfire,resolved_candidate,exact_api_name,100,1,emblem_or_trait,160,79,81,0,,,,,,,False,
DA_18_EmblemVanguard,Emblema de Vanguarda,DA_18_EmblemVanguard,resolved_candidate,exact_api_name,100,1,emblem_or_trait,157,38,111,8,,,,,,,False,
DA_18_EmblemHunter,Emblema de Caçador,DA_18_EmblemHunter,resolved_candidate,exact_api_name,100,1,emblem_or_trait,150,132,17,1,,,,,,,False,
DA_18_EmblemDefender,Emblema de Defendente,DA_18_EmblemDefender,resolved_candidate,exact_api_name,100,1,emblem_or_trait,146,82,61,3,,,,,,,False,
DA_18_EmblemFae,Emblema de Feérico,DA_18_EmblemFae,resolved_candidate,exact_api_name,100,1,emblem_or_trait,144,135,9,0,,,,,,,False,
DA_18_EmblemSpellweaver,Emblema de Enfeitiçador,DA_18_EmblemSpellweaver,resolved_candidate,exact_api_name,100,1,emblem_or_trait,133,115,16,2,,,,,,,False,
DA_18_EmblemInvoker,Emblema de Emanador,DA_18_EmblemInvoker,resolved_candidate,exact_api_name,100,1,emblem_or_trait,132,112,14,6,,,,,,,False,
DA_18_EmblemElderwood,Emblema de Sabugueiro,DA_18_EmblemElderwood,resolved_candidate,exact_api_name,100,1,emblem_or_trait,128,74,50,4,,,,,,,False,
DA_Artifact_NavoriFlickerblade,Adagas Oscilantes,DA_Artifact_NavoriFlickerblade,resolved_candidate,exact_api_name,100,1,artifact,122,122,0,0,,,,,,,False,
DA_Component_ChainVest,Cota de Malha,DA_Component_ChainVest,resolved_candidate,exact_api_name,100,1,review,120,8,111,1,,,,,,,False,
DA_Component_NeedlesslyLargeRod,Bastão Desnecessariamente Grande,DA_Component_NeedlesslyLargeRod,resolved_candidate,exact_api_name,100,1,review,118,93,14,11,,,,,,,False,
DA_Component_TearOfTheGoddess,Lágrima da Deusa,DA_Component_TearOfTheGoddess,resolved_candidate,exact_api_name,100,1,review,116,64,44,8,,,,,,,False,
DA_Component_NegatronCloak,Capa Negatron,DA_Component_NegatronCloak,resolved_candidate,exact_api_name,100,1,review,113,15,95,3,,,,,,,False,
DA_Component_BFSword,Espada G.p.C.,DA_Component_BFSword,resolved_candidate,exact_api_name,100,1,review,112,91,17,4,,,,,,,False,
DA_18_EmblemJuggernaut,Emblema de Colosso,DA_18_EmblemJuggernaut,resolved_candidate,exact_api_name,100,1,emblem_or_trait,110,31,79,0,,,,,,,False,
DA_18_EmblemSprykin,Emblema de Vivaz,DA_18_EmblemSprykin,resolved_candidate,exact_api_name,100,1,emblem_or_trait,100,56,43,1,,,,,,,False,
DA_18_EmblemFloraFatalis,Emblema de Flora Fatalis,DA_18_EmblemFloraFatalis,resolved_candidate,exact_api_name,100,1,emblem_or_trait,94,87,6,1,,,,,,,False,
DA_18_EmblemSlayer,Emblema de Devastador,DA_18_EmblemSlayer,resolved_candidate,exact_api_name,100,1,emblem_or_trait,89,70,19,0,,,,,,,False,
DA_Artifact_LightshieldCrest,Insígnia do Lumescudo,DA_Artifact_LightshieldCrest,resolved_candidate,exact_api_name,100,2,artifact,89,2,85,2,,,,,,,False,
DA_18_EmblemLunar,Emblema de Lunar,DA_18_EmblemLunar,resolved_candidate,exact_api_name,100,1,emblem_or_trait,88,52,34,2,,,,,,,False,
DA_18_EmblemBlackthorn,Emblema de Espinhos Negros,DA_18_EmblemBlackthorn,resolved_candidate,exact_api_name,100,1,emblem_or_trait,87,28,59,0,,,,,,,False,
DA_18_EmblemFloraFatalisAugment,Emblema de Flora Fatalis,DA_18_EmblemFloraFatalisAugment,resolved_candidate,exact_api_name,100,1,emblem_or_trait,83,83,0,0,,,,,,,False,
DA_Artifact_RapidFireCannon,Canhão Fumegante,DA_Artifact_RapidFireCannon,ambiguous,exact_api_name,100,3,artifact,83,81,2,0,,,,,,,False,
DA_18_EmblemBlossom,Emblema de Florescer,DA_18_EmblemBlossom,resolved_candidate,exact_api_name,100,1,emblem_or_trait,82,64,14,4,,,,,,,False,
DA_Artifact_MogulsMail,Carapaça do Manda-Chuva,DA_Artifact_MogulsMail,resolved_candidate,exact_api_name,100,1,artifact,79,1,76,2,,,,,,,False,
DA_Artifact_WitsEnd,Limite da Razão,DA_Artifact_WitsEnd,resolved_candidate,exact_api_name,100,2,artifact,78,78,0,0,,,,,,,False,
DA_18_EmblemPrimal,Emblema de Primitiva,DA_18_EmblemPrimal,resolved_candidate,exact_api_name,100,1,emblem_or_trait,76,61,15,0,,,,,,,False,
DA_Artifact_SeekersArmguard,Armaguarda da Caçadora,DA_Artifact_SeekersArmguard,resolved_candidate,exact_api_name,100,2,artifact,76,63,13,0,,,,,,,False,
DA_18_EmblemInferno,Emblema de Inferno,DA_18_EmblemInferno,resolved_candidate,exact_api_name,100,1,emblem_or_trait,73,66,4,3,,,,,,,False,
DA_TacticiansCrown,Coroa de Estrategista,DA_TacticiansCrown,resolved_candidate,exact_api_name,100,1,completed,72,59,10,3,,,,,,,False,
DA_Component_SparringGloves,Luvas do Pugilista,DA_Component_SparringGloves,resolved_candidate,exact_api_name,100,1,review,71,47,20,4,,,,,,,False,
DA_Artifact_Mittens,Luvinhas,DA_Artifact_Mittens,resolved_candidate,exact_api_name,100,2,artifact,67,62,5,0,,,,,,,False,
DA_Artifact_TheIndomitable,Imbatível,DA_Artifact_TheIndomitable,resolved_candidate,exact_api_name,100,2,artifact,63,0,63,0,,,,,,,False,
DA_Artifact_Dawncore,Auronúcleo,DA_Artifact_Dawncore,resolved_candidate,exact_api_name,100,2,artifact,58,57,1,0,,,,,,,False,
DA_Artifact_Fishbones,Fishbones,DA_Artifact_Fishbones,resolved_candidate,exact_api_name,100,2,artifact,55,55,0,0,,,,,,,False,
DA_Artifact_HellfireHatchet,Machadinha Infernal,DA_Artifact_HellfireHatchet,resolved_candidate,exact_api_name,100,2,artifact,49,44,5,0,,,,,,,False,
DA_TacticiansCape,Capa de Estrategista,DA_TacticiansCape,resolved_candidate,exact_api_name,100,1,completed,49,35,8,6,,,,,,,False,
DA_Artifact_Manazane,Manazane,DA_Artifact_Manazane,resolved_candidate,exact_api_name,100,1,artifact,47,45,2,0,,,,,,,False,
DA_Artifact_BlightingJewel,Joia da Ruína,DA_Artifact_BlightingJewel,resolved_candidate,exact_api_name,100,2,artifact,45,44,1,0,,,,,,,False,
DA_Artifact_ZhonyasParadox,Paradoxo de Zhonya,DA_Artifact_ZhonyasParadox,resolved_candidate,exact_api_name,100,1,artifact,45,42,3,0,,,,,,,False,
DA_Artifact_LichBane,Perdição de Lich,DA_Artifact_LichBane,resolved_candidate,exact_api_name,100,2,artifact,44,44,0,0,,,,,,,False,
DA_Artifact_InfinityForce,Força do Infinito,DA_Artifact_InfinityForce,resolved_candidate,exact_api_name,100,1,artifact,40,31,9,0,,,,,,,False,
DA_Artifact_EternalPact,Pacto Eterno,DA_Artifact_EternalPact,resolved_candidate,exact_api_name,100,2,artifact,37,35,1,1,,,,,,,False,
DA_Artifact_StatikkShiv,Faca de Statikk,DA_Artifact_StatikkShiv,ambiguous,exact_api_name,100,3,artifact,33,32,1,0,,,,,,,False,
DA_Artifact_TitanicHydra,Hidra Titânica,DA_Artifact_TitanicHydra,ambiguous,exact_api_name,100,3,artifact,32,28,4,0,,,,,,,False,
DA_Artifact_ForbiddenIdol,Ídolo Proibido,DA_Artifact_ForbiddenIdol,resolved_candidate,exact_api_name,100,2,artifact,31,0,31,0,,,,,,,False,
DA_Artifact_GoldCollector,Coletor de Ouro,DA_Artifact_GoldCollector,resolved_candidate,exact_api_name,100,1,artifact,31,31,0,0,,,,,,,False,
DA_Artifact_LudensTempest,Tormenta de Luden,DA_Artifact_LudensTempest,resolved_candidate,exact_api_name,100,2,artifact,29,28,1,0,,,,,,,False,
DA_Artifact_AegisOfDusk,Égide do Crepúsculo,DA_Artifact_AegisOfDusk,resolved_candidate,exact_api_name,100,2,artifact,28,1,25,2,,,,,,,False,
DA_18_EmblemCoven,Emblema de Congregação das Bruxas,DA_18_EmblemCoven,resolved_candidate,exact_api_name,100,1,emblem_or_trait,23,5,18,0,,,,,,,False,
DA_TacticiansShield,Escudo de Estrategista,DA_TacticiansShield,resolved_candidate,exact_api_name,100,1,completed,23,12,9,2,,,,,,,False,
DA_Artifact_VoidGauntlet,Manopla do Vazio,DA_Artifact_VoidGauntlet,resolved_candidate,exact_api_name,100,2,artifact,20,0,19,1,,,,,,,False,
DA_GiantSlayer_Radiant,Mata-Gigantes Radiante,DA_GiantSlayer_Radiant,resolved_candidate,exact_api_name,100,1,radiant,20,19,1,0,,,,,,,False,
DA_Artifact_AegisOfDawn,Égide da Alvorada,DA_Artifact_AegisOfDawn,resolved_candidate,exact_api_name,100,2,artifact,19,1,16,2,,,,,,,False,
DA_Item_Artifact_TalismanOfAscension,Talismã da Ascensão,DA_Item_Artifact_TalismanOfAscension,ambiguous,exact_api_name,100,2,artifact,19,17,2,0,,,,,,,False,
DA_Artifact_SilvermereDawn,Alvorada de Pratânia,DA_Artifact_SilvermereDawn,resolved_candidate,exact_api_name,100,2,artifact,18,16,2,0,,,,,,,False,
DA_GuinsoosRagebladeRadiant,Lâmina da Fúria de Guinsoo Radiante,DA_GuinsoosRagebladeRadiant,resolved_candidate,exact_api_name,100,1,radiant,18,17,1,0,,,,,,,False,
DA_Artifact_GamblersBlade,Lâmina do Apostador,DA_Artifact_GamblersBlade,resolved_candidate,exact_api_name,100,1,artifact,17,17,0,0,,,,,,,False,
DA_DeathbladeRadiant,Lâmina Mortal Radiante,DA_DeathbladeRadiant,resolved_candidate,exact_api_name,100,1,radiant,16,16,0,0,,,,,,,False,
DA_ThiefsGlovesRadiant,Luvas do Ladrão Radiantes,DA_ThiefsGlovesRadiant,resolved_candidate,exact_api_name,100,1,radiant,15,11,4,0,,,,,,,False,
DA_Artifact_HorizonFocus,Foco do Horizonte,DA_Artifact_HorizonFocus,resolved_candidate,exact_api_name,100,2,artifact,14,4,10,0,,,,,,,False,
DA_InfinityEdgeRadiant,Gume do Infinito Radiante,DA_InfinityEdgeRadiant,resolved_candidate,exact_api_name,100,1,radiant,13,12,1,0,,,,,,,False,
DA_JeweledGauntletRadiant,Manopla Adornada Radiante,DA_JeweledGauntletRadiant,resolved_candidate,exact_api_name,100,1,radiant,13,13,0,0,,,,,,,False,
DA_RedBuffRadiant,Efeito Vermelho Radiante,DA_RedBuffRadiant,resolved_candidate,exact_api_name,100,1,radiant,12,12,0,0,,,,,,,False,
DA_GargoyleStoneplate_Radiant,Placa Gargolítica Radiante,DA_GargoyleStoneplate_Radiant,resolved_candidate,exact_api_name,100,1,radiant,11,0,11,0,,,,,,,False,
DA_SpearOfShojinRadiant,Lança de Shojin Radiante,DA_SpearOfShojinRadiant,resolved_candidate,exact_api_name,100,1,radiant,11,11,0,0,,,,,,,False,
DA_StrikersFlailRadiant,Mangual do Guerreiro Radiante,DA_StrikersFlailRadiant,resolved_candidate,exact_api_name,100,1,radiant,11,11,0,0,,,,,,,False,
DA_BlastPotion18,Poção Explosiva,DA_BlastPotion18,resolved_candidate,exact_api_name,100,1,review,10,2,8,0,,,,,,,False,
DA_BlueBuffRadiant,Efeito Azul Radiante,DA_BlueBuffRadiant,resolved_candidate,exact_api_name,100,1,radiant,10,10,0,0,,,,,,,False,
DA_KrakensFury_Radiant,Fúria do Cráquem Radiante,DA_KrakensFury_Radiant,resolved_candidate,exact_api_name,100,1,radiant,10,10,0,0,,,,,,,False,
DA_RabadonsDeathcap_Radiant,Capuz da Morte de Rabadon Radiante,DA_RabadonsDeathcap_Radiant,resolved_candidate,exact_api_name,100,1,radiant,10,10,0,0,,,,,,,False,
DA_WarmogsArmorRadiant,Armadura de Warmog Radiante,DA_WarmogsArmorRadiant,resolved_candidate,exact_api_name,100,1,radiant,10,2,8,0,,,,,,,False,
DA_CrownguardRadiant,Stemmaguarda Radiante,DA_CrownguardRadiant,resolved_candidate,exact_api_name,100,1,radiant,7,3,4,0,,,,,,,False,
DA_SpiritVisage_Radiant,Semblante Espiritual Radiante,DA_SpiritVisage_Radiant,resolved_candidate,exact_api_name,100,1,radiant,7,2,5,0,,,,,,,False,
DA_VoidStaffRadiant,Cajado do Vazio Radiante,DA_VoidStaffRadiant,resolved_candidate,exact_api_name,100,1,radiant,7,7,0,0,,,,,,,False,
DA_SteraksGageRadiant,Sinal de Sterak Radiante,DA_SteraksGageRadiant,resolved_candidate,exact_api_name,100,1,radiant,6,5,1,0,,,,,,,False,
DA_AdaptiveHelm_Radiant,Elmo Adaptativo Radiante,DA_AdaptiveHelm_Radiant,resolved_candidate,exact_api_name,100,1,radiant,5,5,0,0,,,,,,,False,
DA_ArchangelsStaffRadiant,Cajado do Arcanjo Radiante,DA_ArchangelsStaffRadiant,resolved_candidate,exact_api_name,100,1,radiant,5,4,1,0,,,,,,,False,
DA_EdgeOfNightRadiant,Limiar da Noite Radiante,DA_EdgeOfNightRadiant,resolved_candidate,exact_api_name,100,1,radiant,5,4,1,0,,,,,,,False,
DA_HandOfJusticeRadiant,Mão da Justiça Radiante,DA_HandOfJusticeRadiant,resolved_candidate,exact_api_name,100,1,radiant,5,5,0,0,,,,,,,False,
DA_HextechGunbladeRadiant,Pistola Laminar Hextec Radiante,DA_HextechGunbladeRadiant,resolved_candidate,exact_api_name,100,1,radiant,5,5,0,0,,,,,,,False,
DA_BrambleVestRadiant,Colete Espinhoso Radiante,DA_BrambleVestRadiant,resolved_candidate,exact_api_name,100,1,radiant,4,1,3,0,,,,,,,False,
DA_Component_Spatula,Espátula,DA_Component_Spatula,resolved_candidate,exact_api_name,100,1,emblem_or_trait,4,3,1,0,,,,,,,False,
DA_ManaPotion18,Poção de Mana,DA_ManaPotion18,resolved_candidate,exact_api_name,100,1,review,4,2,2,0,,,,,,,False,
DA_ProtectorsVowRadiant,Juramento do Protetor Radiante,DA_ProtectorsVowRadiant,resolved_candidate,exact_api_name,100,1,radiant,4,1,3,0,,,,,,,False,
DA_EvenshroudRadiant,Proteção Imutável Radiante,DA_EvenshroudRadiant,resolved_candidate,exact_api_name,100,1,radiant,3,1,2,0,,,,,,,False,
DA_HealthPotion18,Poção de Vida,DA_HealthPotion18,resolved_candidate,exact_api_name,100,1,review,3,2,1,0,,,,,,,False,
DA_NashorsToothRadiant,Dente de Na'Shor Radiante,DA_NashorsToothRadiant,resolved_candidate,exact_api_name,100,1,radiant,3,3,0,0,,,,,,,False,
DA_BloodthirsterRadiant,Sedenta por Sangue Radiante,DA_BloodthirsterRadiant,resolved_candidate,exact_api_name,100,1,radiant,2,2,0,0,,,,,,,False,
DA_DragonsClawRadiant,Garra do Dragão Radiante,DA_DragonsClawRadiant,resolved_candidate,exact_api_name,100,1,radiant,2,0,2,0,,,,,,,False,
DA_IonicSparkRadiant,Centelha Iônica Radiante,DA_IonicSparkRadiant,resolved_candidate,exact_api_name,100,1,radiant,2,1,1,0,,,,,,,False,
DA_MorellonomiconRadiant,Morellonomicon Radiante,DA_MorellonomiconRadiant,resolved_candidate,exact_api_name,100,1,radiant,2,2,0,0,,,,,,,False,
DA_QuicksilverRadiant,Mercúrio Radiante,DA_QuicksilverRadiant,resolved_candidate,exact_api_name,100,1,radiant,2,2,0,0,,,,,,,False,
DA_Component_FryingPan,Frigideira,DA_Component_FryingPan,resolved_candidate,exact_api_name,100,1,review,1,1,0,0,,,,,,,False,
DA_HealthPotion18_Radiant,Poção de Vida Radiante,DA_HealthPotion18_Radiant,resolved_candidate,exact_api_name,100,1,radiant,1,0,1,0,,,,,,,False,
DA_LastWhisperRadiant,Último Sussurro Radiante,DA_LastWhisperRadiant,resolved_candidate,exact_api_name,100,1,radiant,1,1,0,0,,,,,,,False,
DA_SteadfastHeartRadiant,Coração Inabalável Radiante,DA_SteadfastHeartRadiant,resolved_candidate,exact_api_name,100,1,radiant,1,0,1,0,,,,,,,False,
DA_SunfireCape_Radiant,Capa de Fogo Solar Radiante,DA_SunfireCape_Radiant,resolved_candidate,exact_api_name,100,1,radiant,1,1,0,0,,,,,,,False,
DA_TitansResolve_Radiant,Determinação Titânica Radiante,DA_TitansResolve_Radiant,resolved_candidate,exact_api_name,100,1,radiant,1,1,0,0,,,,,,,False,
