item_id,item_name,category,confidence,offense_score,defense_score,utility_score,total_uses,carry_uses,tank_uses,support_uses,source
TFT5_Item_TrapClawRadiant,Mangual do Guerreiro Radiante,Ofensivo,92.44,79.5,20.5,0.0,36,36,0,0,hybrid
TFT5_Item_DeathbladeRadiant,Lâmina Mortal Radiante,Ofensivo,10.06,16.5,1.0,0.0,35,33,2,0,hybrid
TFT5_Item_RapidFirecannonRadiant,Efeito Vermelho Radiante,Híbrido,76.09,35.75,21.75,42.5,34,30,2,2,hybrid
TFT17_Item_PsyOps_TargetlockMod_Radiant,Mira Óptica,Ofensivo,76.12,77.13,43.75,20.88,33,29,4,0,hybrid
TFT5_Item_RunaansHurricaneRadiant,Fúria do Cráquem Radiante,Ofensivo,93.1,78.88,21.12,0.0,31,31,0,0,hybrid
TFT_Item_ChonccsCrown,Coroa do Choncc,Utilidade,76.2,1.5,2.5,32.62,31,3,5,23,hybrid
TFT5_Item_HextechGunbladeRadiant,Pistola Laminar Hextec Radiante,Utilidade,93.25,29.25,21.75,91.5,30,16,1,13,hybrid
TFT9_Item_CrownOfDemacia,Coroa de Demacia,Ofensivo,76.25,76.75,44.5,21.25,30,26,4,0,hybrid
TFT5_Item_BlueBuffRadiant,Efeito Azul Radiante,Ofensivo,76.3,77.62,0.5,43.25,29,27,1,1,hybrid
TFT5_Item_StatikkShivRadiant,Cajado do Vazio Radiante,Ofensivo,54.93,55.75,21.88,43.75,29,26,1,2,hybrid
TFT5_Item_DragonsClawRadiant,Garra do Dragão Radiante,Defensivo,93.56,0.0,78.5,21.5,28,0,28,0,hybrid
TFT5_Item_InfinityEdgeRadiant,Gume do Infinito Radiante,Ofensivo,76.49,31.25,3.0,0.5,26,19,6,1,hybrid
TFT5_Item_BrambleVestRadiant,Colete Espinhoso Radiante,Defensivo,76.56,22.88,55.25,0.0,25,2,23,0,hybrid
TFT5_Item_SpearOfShojinRadiant,Lança de Shojin Radiante,Utilidade,94.24,10.0,0.5,45.5,24,20,1,3,hybrid
TFT5_Item_FrozenHeartRadiant,Juramento do Protetor Radiante,Defensivo,94.24,0.0,100.0,44.0,24,0,24,0,hybrid
TFT5_Item_SteraksGageRadiant,Sinal de Sterak Radiante,Defensivo,94.24,3.5,74.5,0.0,24,7,17,0,hybrid
TFT5_Item_ArchangelsStaffRadiant,Cajado do Arcanjo Radiante,Utilidade,76.72,31.12,2.5,44.25,23,18,5,0,hybrid
TFT17_Item_PsyOps_ChemicalCapacitorMod_Radiant,Matriz de Malware,Defensivo,76.81,23.25,54.5,22.25,22,2,20,0,hybrid
TFT5_Item_LastWhisperRadiant,Último Sussurro Radiante,Ofensivo,76.9,76.12,46.25,0.0,21,18,3,0,hybrid
TFT5_Item_HandOfJusticeRadiant,Mão da Justiça Radiante,Ofensivo,76.9,97.0,47.25,67.62,21,15,5,1,hybrid
TFT5_Item_SunfireCapeRadiant,Capa de Fogo Solar Radiante,Defensivo,95.0,22.5,77.5,22.5,20,0,20,0,hybrid
TFT5_Item_BloodthirsterRadiant,Sedenta por Sangue Radiante,Defensivo,100.0,0.0,100.0,25.0,18,1,17,0,communitydragon_metadata
TFT5_Item_TitansResolveRadiant,Determinação Titânica Radiante,Ofensivo,100.0,75.0,25.0,25.0,18,14,4,0,communitydragon_metadata
TFT5_Item_MorellonomiconRadiant,Morellonomicon Radiante,Utilidade,80.0,25.0,50.0,75.0,17,10,0,7,communitydragon_metadata
TFT17_Item_PsyOps_GrenadeMod_Radiant,Preservador de Biomatéria,Híbrido,55.0,0.0,50.0,50.0,17,0,17,0,communitydragon_metadata
TFT5_Item_QuicksilverRadiant,Mercúrio Radiante,Ofensivo,100.0,75.0,25.0,25.0,16,13,3,0,communitydragon_metadata
TFT16_Item_BilgewaterEmblemItem,Emblema de Águas de Sentina,Utilidade,100.0,0.0,0.0,50.0,16,3,7,6,communitydragon_metadata
TFT5_Item_SpectralGauntletRadiant,Proteção Imutável Radiante,Defensivo,100.0,0.0,100.0,0.0,15,0,15,0,communitydragon_metadata
TFT5_Item_AdaptiveHelmRadiant,Elmo Adaptativo Radiante,Híbrido,55.0,75.0,75.0,50.0,15,7,8,0,communitydragon_metadata
TFT_Item_ChonccsSpork,Garfolher do Choncc,Utilidade,80.0,0.0,25.0,50.0,14,5,6,3,communitydragon_metadata
TFT5_Item_CrownguardRadiant,Stemmaguarda Radiante,Defensivo,100.0,25.0,100.0,0.0,13,1,12,0,communitydragon_metadata
TFT5_Item_GuardianAngelRadiant,Limiar da Noite Radiante,Defensivo,100.0,0.0,75.0,25.0,13,4,9,0,communitydragon_metadata
TFT16_Item_RapidfireEmblemItem,Emblema de Célere,Híbrido,55.0,0.0,25.0,25.0,13,5,6,2,communitydragon_metadata
TFT5_Item_NightHarvesterRadiant,Coração Inabalável Radiante,Defensivo,100.0,25.0,75.0,0.0,12,0,12,0,communitydragon_metadata
TFT5_Item_IonicSparkRadiant,Centelha Iônica Radiante,Defensivo,80.0,25.0,75.0,50.0,12,0,12,0,communitydragon_metadata
TFT_Item_TacticiansScepter,Escudo do Estrategista,Utilidade,80.0,0.0,0.0,25.0,12,1,2,9,communitydragon_metadata
TFT16_Item_JuggernautEmblemItem,Emblema de Colosso,Defensivo,100.0,0.0,100.0,0.0,11,1,10,0,communitydragon_metadata
TFT16_Item_FreljordEmblemItem,Emblema de Freljord,Defensivo,80.0,0.0,25.0,0.0,11,0,11,0,communitydragon_metadata
TFT16_Item_BrawlerEmblemItem,Emblema de Brutamontes,Defensivo,80.0,25.0,50.0,0.0,11,1,10,0,communitydragon_metadata
TFT16_Item_DemaciaEmblemItem,Emblema de Demacia,Híbrido,55.0,0.0,50.0,50.0,11,3,8,0,communitydragon_metadata
TFT16_Item_NoxusEmblemItem,Emblema de Noxus,Desconhecido,0.0,0.0,0.0,0.0,11,4,7,0,communitydragon_metadata
TFT16_Item_Bilgewater_FreebootersFrock,Socrustáceo,Defensivo,100.0,25.0,100.0,0.0,10,1,9,0,communitydragon_metadata
TFTEventER_Item_Ohmwrecker,Mergulhadora,Defensivo,100.0,0.0,100.0,25.0,10,0,10,0,communitydragon_metadata
TFT16_Item_Bilgewater_CaptainsBrew,Bebida do Capitão,Defensivo,80.0,0.0,25.0,0.0,9,9,0,0,communitydragon_metadata
TFTEventER_Item_AvariceBlade,Espada Avarenta,Ofensivo,80.0,25.0,0.0,0.0,9,7,2,0,communitydragon_metadata
TFT16_Item_Bilgewater_PileOCitrus,Pilha Cítrica,Híbrido,55.0,0.0,50.0,50.0,9,0,9,0,communitydragon_metadata
TFT_Item_Spatula,Espátula,Desconhecido,0.0,0.0,0.0,0.0,9,7,0,2,communitydragon_metadata
TFT16_Item_SorcererEmblemItem,Emblema de Arcanista,Utilidade,100.0,0.0,0.0,50.0,8,2,1,5,communitydragon_metadata
TFT16_Item_Bilgewater_DeadmansDagger,Adaga do Defunto,Ofensivo,100.0,75.0,25.0,0.0,8,8,0,0,communitydragon_metadata
TFT16_Item_DefenderEmblemItem,Emblema de Defendente,Defensivo,100.0,0.0,100.0,0.0,8,0,8,0,communitydragon_metadata
TFT4_Item_OrnnRocketPropelledFist,Punho do Puxão Biônico do Choncc,Utilidade,100.0,0.0,50.0,100.0,8,0,4,4,communitydragon_metadata
TFT16_Item_Bilgewater_FirstMatesFlintlock,Espingarda do Comandante,Ofensivo,100.0,100.0,0.0,0.0,8,8,0,0,communitydragon_metadata
TFT16_Item_IoniaEmblemItem,Emblema de Ionia,Desconhecido,0.0,0.0,0.0,0.0,8,3,3,2,communitydragon_metadata
TFT16_Item_PiltoverEmblemItem,Emblema de Piltover,Defensivo,80.0,0.0,25.0,0.0,7,2,5,0,communitydragon_metadata
TFT16_Item_Bilgewater_LuckyEyepatch,Dobrão da Sorte,Ofensivo,80.0,25.0,0.0,0.0,7,6,1,0,communitydragon_metadata
TFT16_Item_VanquisherEmblemItem,Emblema de Aniquilador,Ofensivo,100.0,50.0,0.0,0.0,6,6,0,0,communitydragon_metadata
TFT16_Item_WardenEmblemItem,Emblema de Vigia,Defensivo,80.0,0.0,50.0,25.0,6,0,6,0,communitydragon_metadata
TFTEventER_Item_LuckyPick,Adaga da Sorte,Ofensivo,80.0,25.0,0.0,0.0,6,5,1,0,communitydragon_metadata
TFTEventER_Item_BannerOfCommand,Flâmula de Comando,Defensivo,80.0,0.0,25.0,0.0,6,1,5,0,communitydragon_metadata
TFT16_Item_ZaunEmblemItem,Emblema de Zaun,Híbrido,55.0,25.0,25.0,0.0,6,1,5,0,communitydragon_metadata
TFT_Item_FryingPan,Frigideira,Desconhecido,0.0,0.0,0.0,0.0,6,3,2,1,communitydragon_metadata
TFT16_Item_YordleEmblemItem,Emblema de Yordle,Defensivo,100.0,0.0,50.0,0.0,5,2,3,0,communitydragon_metadata
TFT16_Item_GunslingerEmblemItem,Emblema de Pistoleiro,Defensivo,100.0,25.0,75.0,0.0,5,4,1,0,communitydragon_metadata
TFTEventER_Item_RunicBulwark,Baluarte Rúnico,Defensivo,100.0,0.0,75.0,25.0,5,0,5,0,communitydragon_metadata
TFT16_Item_InvokerEmblemItem,Emblema de Emanador,Utilidade,80.0,25.0,0.0,50.0,5,2,2,1,communitydragon_metadata
TFTEventER_Item_SpiritOfTheAncientGolem,Espírito do Golem Ancião,Híbrido,55.0,25.0,50.0,50.0,5,0,5,0,communitydragon_metadata
TFTEventER_Item_HeartOfGold,Coração de Ouro,Híbrido,55.0,25.0,25.0,0.0,5,0,5,0,communitydragon_metadata
TFT15_Item_SoulFighterEmblemItem,Emblema de Soul Fighter,Desconhecido,0.0,0.0,0.0,0.0,5,3,2,0,communitydragon_metadata
